image_id,actual_count,predicted_count,accuracy(%)
seq_001501.jpg,66.0,24,36.36
seq_001502.jpg,68.0,22,32.35
seq_001503.jpg,98.0,20,20.41
seq_001504.jpg,70.0,19,27.14
seq_001505.jpg,70.0,18,25.71
seq_001506.jpg,63.0,20,31.75
seq_001507.jpg,51.0,19,37.25
seq_001508.jpg,34.0,19,55.88
seq_001509.jpg,31.0,20,64.52
seq_001510.jpg,47.0,20,42.55
seq_001511.jpg,75.0,20,26.67
seq_001512.jpg,10.0,24,-40.0
seq_001513.jpg,49.0,23,46.94
seq_001514.jpg,57.0,23,40.35
seq_001515.jpg,12.0,26,-16.67
seq_001516.jpg,68.0,28,41.18
seq_001517.jpg,78.0,28,35.9
seq_001518.jpg,17.0,29,29.41
seq_001519.jpg,74.0,28,37.84
seq_001520.jpg,39.0,28,71.79
seq_001521.jpg,23.0,26,86.96
seq_001522.jpg,13.0,30,-30.77
seq_001523.jpg,81.0,29,35.8
seq_001524.jpg,54.0,30,55.56
seq_001525.jpg,44.0,27,61.36
seq_001526.jpg,16.0,28,25.0
seq_001527.jpg,28.0,27,96.43
seq_001528.jpg,69.0,27,39.13
seq_001529.jpg,93.0,25,26.88
seq_001530.jpg,98.0,25,25.51
seq_001531.jpg,72.0,26,36.11
seq_001532.jpg,37.0,30,81.08
seq_001533.jpg,22.0,28,72.73
seq_001534.jpg,75.0,30,40.0
seq_001535.jpg,79.0,33,41.77
seq_001536.jpg,97.0,33,34.02
seq_001537.jpg,77.0,31,40.26
seq_001538.jpg,79.0,33,41.77
seq_001539.jpg,75.0,30,40.0
seq_001540.jpg,17.0,30,23.53
seq_001541.jpg,93.0,32,34.41
seq_001542.jpg,67.0,35,52.24
seq_001543.jpg,87.0,34,39.08
seq_001544.jpg,43.0,36,83.72
seq_001545.jpg,79.0,38,48.1
seq_001546.jpg,34.0,35,97.06
seq_001547.jpg,27.0,37,62.96
seq_001548.jpg,88.0,39,44.32
seq_001549.jpg,66.0,38,57.58
seq_001550.jpg,91.0,38,41.76
seq_001551.jpg,90.0,36,40.0
seq_001552.jpg,48.0,34,70.83
seq_001553.jpg,88.0,33,37.5
seq_001554.jpg,77.0,36,46.75
seq_001555.jpg,77.0,36,46.75
seq_001556.jpg,67.0,35,52.24
seq_001557.jpg,81.0,33,40.74
seq_001558.jpg,77.0,30,38.96
seq_001559.jpg,26.0,33,73.08
seq_001560.jpg,35.0,30,85.71
seq_001561.jpg,23.0,31,65.22
seq_001562.jpg,46.0,32,69.57
seq_001563.jpg,58.0,29,50.0
seq_001564.jpg,78.0,31,39.74
seq_001565.jpg,90.0,30,33.33
seq_001566.jpg,30.0,29,96.67
seq_001567.jpg,51.0,29,56.86
seq_001568.jpg,46.0,33,71.74
seq_001569.jpg,92.0,35,38.04
seq_001570.jpg,49.0,29,59.18
seq_001571.jpg,46.0,36,78.26
seq_001572.jpg,60.0,35,58.33
seq_001573.jpg,58.0,34,58.62
seq_001574.jpg,22.0,37,31.82
seq_001575.jpg,72.0,41,56.94
seq_001576.jpg,98.0,39,39.8
seq_001577.jpg,80.0,39,48.75
seq_001578.jpg,37.0,35,94.59
seq_001579.jpg,28.0,38,64.29
seq_001580.jpg,27.0,38,59.26
seq_001581.jpg,69.0,33,47.83
seq_001582.jpg,92.0,29,31.52
seq_001583.jpg,90.0,30,33.33
seq_001584.jpg,36.0,33,91.67
seq_001585.jpg,70.0,33,47.14
seq_001586.jpg,14.0,32,-28.57
seq_001587.jpg,63.0,30,47.62
seq_001588.jpg,55.0,30,54.55
seq_001589.jpg,98.0,27,27.55
seq_001590.jpg,31.0,26,83.87
seq_001591.jpg,77.0,29,37.66
seq_001592.jpg,19.0,29,47.37
seq_001593.jpg,23.0,31,65.22
seq_001594.jpg,78.0,31,39.74
seq_001595.jpg,52.0,30,57.69
seq_001596.jpg,65.0,33,50.77
seq_001597.jpg,92.0,33,35.87
seq_001598.jpg,14.0,38,-71.43
seq_001599.jpg,82.0,35,42.68
seq_001600.jpg,87.0,34,39.08
seq_001601.jpg,58.0,33,56.9
seq_001602.jpg,89.0,31,34.83
seq_001603.jpg,68.0,31,45.59
seq_001604.jpg,80.0,31,38.75
seq_001605.jpg,74.0,31,41.89
seq_001606.jpg,82.0,33,40.24
seq_001607.jpg,95.0,35,36.84
seq_001608.jpg,91.0,35,38.46
seq_001609.jpg,49.0,38,77.55
seq_001610.jpg,47.0,40,85.11
seq_001611.jpg,67.0,44,65.67
seq_001612.jpg,45.0,44,97.78
seq_001613.jpg,52.0,40,76.92
seq_001614.jpg,55.0,41,74.55
seq_001615.jpg,96.0,42,43.75
seq_001616.jpg,18.0,44,-44.44
seq_001617.jpg,40.0,39,97.5
seq_001618.jpg,73.0,42,57.53
seq_001619.jpg,44.0,40,90.91
seq_001620.jpg,92.0,41,44.57
seq_001621.jpg,66.0,39,59.09
seq_001622.jpg,96.0,33,34.38
seq_001623.jpg,51.0,34,66.67
seq_001624.jpg,21.0,33,42.86
seq_001625.jpg,96.0,32,33.33
seq_001626.jpg,45.0,31,68.89
seq_001627.jpg,75.0,31,41.33
seq_001628.jpg,81.0,33,40.74
seq_001629.jpg,38.0,33,86.84
seq_001630.jpg,36.0,32,88.89
seq_001631.jpg,53.0,30,56.6
seq_001632.jpg,45.0,29,64.44
seq_001633.jpg,64.0,27,42.19
seq_001634.jpg,80.0,28,35.0
seq_001635.jpg,30.0,34,86.67
seq_001636.jpg,23.0,36,43.48
seq_001637.jpg,69.0,32,46.38
seq_001638.jpg,52.0,32,61.54
seq_001639.jpg,20.0,36,20.0
seq_001640.jpg,85.0,34,40.0
seq_001641.jpg,63.0,34,53.97
seq_001642.jpg,21.0,35,33.33
seq_001643.jpg,22.0,32,54.55
seq_001644.jpg,88.0,36,40.91
seq_001645.jpg,48.0,38,79.17
seq_001646.jpg,25.0,36,56.0
seq_001647.jpg,52.0,33,63.46
seq_001648.jpg,82.0,34,41.46
seq_001649.jpg,13.0,34,-61.54
seq_001650.jpg,65.0,39,60.0
seq_001651.jpg,82.0,40,48.78
seq_001652.jpg,76.0,39,51.32
seq_001653.jpg,54.0,41,75.93
seq_001654.jpg,50.0,43,86.0
seq_001655.jpg,19.0,41,-15.79
seq_001656.jpg,76.0,44,57.89
seq_001657.jpg,51.0,42,82.35
seq_001658.jpg,50.0,44,88.0
seq_001659.jpg,86.0,42,48.84
seq_001660.jpg,72.0,40,55.56
seq_001661.jpg,83.0,38,45.78
seq_001662.jpg,76.0,35,46.05
seq_001663.jpg,42.0,34,80.95
seq_001664.jpg,59.0,32,54.24
seq_001665.jpg,92.0,28,30.43
seq_001666.jpg,93.0,27,29.03
seq_001667.jpg,59.0,25,42.37
seq_001668.jpg,62.0,23,37.1
seq_001669.jpg,74.0,23,31.08
seq_001670.jpg,37.0,25,67.57
seq_001671.jpg,69.0,26,37.68
seq_001672.jpg,92.0,29,31.52
seq_001673.jpg,65.0,30,46.15
seq_001674.jpg,60.0,28,46.67
seq_001675.jpg,25.0,30,80.0
seq_001676.jpg,36.0,30,83.33
seq_001677.jpg,41.0,29,70.73
seq_001678.jpg,16.0,31,6.25
seq_001679.jpg,44.0,33,75.0
seq_001680.jpg,94.0,31,32.98
seq_001681.jpg,53.0,34,64.15
seq_001682.jpg,11.0,32,-90.91
seq_001683.jpg,92.0,32,34.78
seq_001684.jpg,18.0,35,5.56
seq_001685.jpg,22.0,32,54.55
seq_001686.jpg,49.0,28,57.14
seq_001687.jpg,10.0,30,-100.0
seq_001688.jpg,75.0,33,44.0
seq_001689.jpg,98.0,33,33.67
seq_001690.jpg,90.0,32,35.56
seq_001691.jpg,16.0,31,6.25
seq_001692.jpg,86.0,29,33.72
seq_001693.jpg,93.0,31,33.33
seq_001694.jpg,65.0,33,50.77
seq_001695.jpg,96.0,30,31.25
seq_001696.jpg,66.0,29,43.94
seq_001697.jpg,70.0,28,40.0
seq_001698.jpg,36.0,27,75.0
seq_001699.jpg,46.0,28,60.87
seq_001700.jpg,38.0,30,78.95
seq_001701.jpg,78.0,31,39.74
seq_001702.jpg,32.0,29,90.62
seq_001703.jpg,19.0,36,10.53
seq_001704.jpg,85.0,37,43.53
seq_001705.jpg,75.0,36,48.0
seq_001706.jpg,13.0,30,-30.77
seq_001707.jpg,17.0,30,23.53
seq_001708.jpg,15.0,31,-6.67
seq_001709.jpg,85.0,34,40.0
seq_001710.jpg,76.0,37,48.68
seq_001711.jpg,11.0,35,-118.18
seq_001712.jpg,88.0,39,44.32
seq_001713.jpg,68.0,40,58.82
seq_001714.jpg,44.0,43,97.73
seq_001715.jpg,82.0,42,51.22
seq_001716.jpg,41.0,44,92.68
seq_001717.jpg,63.0,40,63.49
seq_001718.jpg,79.0,40,50.63
seq_001719.jpg,13.0,42,-123.08
seq_001720.jpg,13.0,42,-123.08
seq_001721.jpg,84.0,40,47.62
seq_001722.jpg,39.0,37,94.87
seq_001723.jpg,38.0,39,97.37
seq_001724.jpg,52.0,42,80.77
seq_001725.jpg,97.0,43,44.33
seq_001726.jpg,67.0,41,61.19
seq_001727.jpg,94.0,44,46.81
seq_001728.jpg,28.0,42,50.0
seq_001729.jpg,84.0,41,48.81
seq_001730.jpg,26.0,40,46.15
seq_001731.jpg,18.0,43,-38.89
seq_001732.jpg,24.0,39,37.5
seq_001733.jpg,76.0,36,47.37
seq_001734.jpg,17.0,41,-41.18
seq_001735.jpg,43.0,40,93.02
seq_001736.jpg,85.0,36,42.35
