image_id,actual_count,predicted_count,accuracy(%)
seq_001501.jpg,66.0,26.86,40.7
seq_001502.jpg,68.0,25.55,37.57
seq_001503.jpg,98.0,24.99,25.5
seq_001504.jpg,70.0,22.88,32.69
seq_001505.jpg,70.0,23.15,33.07
seq_001506.jpg,63.0,22.79,36.17
seq_001507.jpg,51.0,23.0,45.09
seq_001508.jpg,34.0,21.75,63.97
seq_001509.jpg,31.0,24.67,79.59
seq_001510.jpg,47.0,25.07,53.35
seq_001511.jpg,75.0,25.85,34.47
seq_001512.jpg,10.0,26.42,0.0
seq_001513.jpg,49.0,27.43,55.97
seq_001514.jpg,57.0,27.02,47.41
seq_001515.jpg,12.0,29.09,0.0
seq_001516.jpg,68.0,30.28,44.53
seq_001517.jpg,78.0,32.54,41.72
seq_001518.jpg,17.0,33.85,0.89
seq_001519.jpg,74.0,34.42,46.51
seq_001520.jpg,39.0,33.08,84.82
seq_001521.jpg,23.0,32.59,58.28
seq_001522.jpg,13.0,36.37,0.0
seq_001523.jpg,81.0,32.81,40.51
seq_001524.jpg,54.0,34.31,63.54
seq_001525.jpg,44.0,31.57,71.74
seq_001526.jpg,16.0,31.96,0.24
seq_001527.jpg,28.0,29.58,94.34
seq_001528.jpg,69.0,30.03,43.53
seq_001529.jpg,93.0,24.79,26.66
seq_001530.jpg,98.0,26.59,27.13
seq_001531.jpg,72.0,26.74,37.14
seq_001532.jpg,37.0,29.23,79.0
seq_001533.jpg,22.0,29.53,65.77
seq_001534.jpg,75.0,35.55,47.4
seq_001535.jpg,79.0,30.51,38.62
seq_001536.jpg,97.0,31.25,32.22
seq_001537.jpg,77.0,30.75,39.94
seq_001538.jpg,79.0,31.95,40.44
seq_001539.jpg,75.0,31.9,42.53
seq_001540.jpg,17.0,31.36,15.52
seq_001541.jpg,93.0,34.18,36.75
seq_001542.jpg,67.0,39.38,58.77
seq_001543.jpg,87.0,39.87,45.83
seq_001544.jpg,43.0,38.92,90.5
seq_001545.jpg,79.0,42.23,53.45
seq_001546.jpg,34.0,39.91,82.61
seq_001547.jpg,27.0,39.92,52.14
seq_001548.jpg,88.0,39.82,45.25
seq_001549.jpg,66.0,38.46,58.28
seq_001550.jpg,91.0,42.06,46.21
seq_001551.jpg,90.0,42.89,47.66
seq_001552.jpg,48.0,38.33,79.85
seq_001553.jpg,88.0,35.31,40.12
seq_001554.jpg,77.0,40.23,52.25
seq_001555.jpg,77.0,37.93,49.26
seq_001556.jpg,67.0,40.12,59.88
seq_001557.jpg,81.0,35.67,44.04
seq_001558.jpg,77.0,35.64,46.29
seq_001559.jpg,26.0,32.99,73.1
seq_001560.jpg,35.0,34.28,97.93
seq_001561.jpg,23.0,36.79,40.03
seq_001562.jpg,46.0,38.93,84.64
seq_001563.jpg,58.0,37.56,64.75
seq_001564.jpg,78.0,37.83,48.5
seq_001565.jpg,90.0,35.7,39.67
seq_001566.jpg,30.0,35.93,80.23
seq_001567.jpg,51.0,34.28,67.21
seq_001568.jpg,46.0,35.64,77.49
seq_001569.jpg,92.0,37.0,40.22
seq_001570.jpg,49.0,32.7,66.74
seq_001571.jpg,46.0,37.14,80.74
seq_001572.jpg,60.0,36.6,61.0
seq_001573.jpg,58.0,40.12,69.17
seq_001574.jpg,22.0,40.94,13.91
seq_001575.jpg,72.0,42.07,58.43
seq_001576.jpg,98.0,42.48,43.35
seq_001577.jpg,80.0,43.0,53.75
seq_001578.jpg,37.0,37.74,97.99
seq_001579.jpg,28.0,39.26,59.79
seq_001580.jpg,27.0,40.14,51.33
seq_001581.jpg,69.0,36.44,52.81
seq_001582.jpg,92.0,32.61,35.45
seq_001583.jpg,90.0,34.24,38.04
seq_001584.jpg,36.0,36.21,99.41
seq_001585.jpg,70.0,35.76,51.08
seq_001586.jpg,14.0,36.79,0.0
seq_001587.jpg,63.0,36.84,58.48
seq_001588.jpg,55.0,35.65,64.81
seq_001589.jpg,98.0,36.09,36.82
seq_001590.jpg,31.0,36.71,81.59
seq_001591.jpg,77.0,34.64,44.98
seq_001592.jpg,19.0,34.69,17.44
seq_001593.jpg,23.0,38.43,32.92
seq_001594.jpg,78.0,34.63,44.4
seq_001595.jpg,52.0,36.25,69.71
seq_001596.jpg,65.0,36.14,55.61
seq_001597.jpg,92.0,37.35,40.6
seq_001598.jpg,14.0,38.16,0.0
seq_001599.jpg,82.0,39.54,48.22
seq_001600.jpg,87.0,36.25,41.67
seq_001601.jpg,58.0,39.2,67.58
seq_001602.jpg,89.0,37.38,42.0
seq_001603.jpg,68.0,32.15,47.28
seq_001604.jpg,80.0,33.75,42.19
seq_001605.jpg,74.0,35.18,47.55
seq_001606.jpg,82.0,36.63,44.68
seq_001607.jpg,95.0,39.13,41.19
seq_001608.jpg,91.0,38.08,41.84
seq_001609.jpg,49.0,38.84,79.27
seq_001610.jpg,47.0,38.39,81.69
seq_001611.jpg,67.0,40.78,60.86
seq_001612.jpg,45.0,41.07,91.26
seq_001613.jpg,52.0,41.71,80.21
seq_001614.jpg,55.0,42.89,77.98
seq_001615.jpg,96.0,40.76,42.46
seq_001616.jpg,18.0,41.86,0.0
seq_001617.jpg,40.0,40.21,99.46
seq_001618.jpg,73.0,41.73,57.16
seq_001619.jpg,44.0,43.43,98.71
seq_001620.jpg,92.0,45.64,49.61
seq_001621.jpg,66.0,41.78,63.3
seq_001622.jpg,96.0,38.06,39.65
seq_001623.jpg,51.0,35.34,69.29
seq_001624.jpg,21.0,33.61,39.94
seq_001625.jpg,96.0,34.28,35.7
seq_001626.jpg,45.0,34.02,75.61
seq_001627.jpg,75.0,36.8,49.07
seq_001628.jpg,81.0,35.54,43.88
seq_001629.jpg,38.0,39.44,96.22
seq_001630.jpg,36.0,38.61,92.75
seq_001631.jpg,53.0,34.83,65.72
seq_001632.jpg,45.0,34.01,75.59
seq_001633.jpg,64.0,32.13,50.2
seq_001634.jpg,80.0,32.3,40.37
seq_001635.jpg,30.0,37.18,76.06
seq_001636.jpg,23.0,37.84,35.48
seq_001637.jpg,69.0,36.23,52.51
seq_001638.jpg,52.0,36.39,69.98
seq_001639.jpg,20.0,38.38,8.11
seq_001640.jpg,85.0,37.29,43.87
seq_001641.jpg,63.0,36.49,57.92
seq_001642.jpg,21.0,39.02,14.17
seq_001643.jpg,22.0,35.7,37.72
seq_001644.jpg,88.0,36.42,41.39
seq_001645.jpg,48.0,38.87,80.99
seq_001646.jpg,25.0,40.07,39.73
seq_001647.jpg,52.0,38.13,73.32
seq_001648.jpg,82.0,39.55,48.23
seq_001649.jpg,13.0,39.52,0.0
seq_001650.jpg,65.0,42.77,65.8
seq_001651.jpg,82.0,43.19,52.68
seq_001652.jpg,76.0,40.85,53.74
seq_001653.jpg,54.0,40.92,75.77
seq_001654.jpg,50.0,41.64,83.27
seq_001655.jpg,19.0,41.99,0.0
seq_001656.jpg,76.0,42.56,56.0
seq_001657.jpg,51.0,42.87,84.06
seq_001658.jpg,50.0,42.95,85.9
seq_001659.jpg,86.0,43.84,50.97
seq_001660.jpg,72.0,43.61,60.57
seq_001661.jpg,83.0,42.06,50.68
seq_001662.jpg,76.0,39.28,51.69
seq_001663.jpg,42.0,35.67,84.94
seq_001664.jpg,59.0,36.2,61.36
seq_001665.jpg,92.0,31.74,34.5
seq_001666.jpg,93.0,31.1,33.44
seq_001667.jpg,59.0,27.88,47.25
seq_001668.jpg,62.0,28.12,45.35
seq_001669.jpg,74.0,28.67,38.74
seq_001670.jpg,37.0,29.34,79.31
seq_001671.jpg,69.0,32.58,47.22
seq_001672.jpg,92.0,34.94,37.98
seq_001673.jpg,65.0,35.89,55.21
seq_001674.jpg,60.0,33.7,56.17
seq_001675.jpg,25.0,33.74,65.02
seq_001676.jpg,36.0,34.4,95.55
seq_001677.jpg,41.0,33.64,82.05
seq_001678.jpg,16.0,35.62,0.0
seq_001679.jpg,44.0,36.2,82.27
seq_001680.jpg,94.0,37.69,40.09
seq_001681.jpg,53.0,41.61,78.51
seq_001682.jpg,11.0,34.22,0.0
seq_001683.jpg,92.0,35.93,39.05
seq_001684.jpg,18.0,36.76,0.0
seq_001685.jpg,22.0,37.26,30.63
seq_001686.jpg,49.0,34.59,70.6
seq_001687.jpg,10.0,34.73,0.0
seq_001688.jpg,75.0,37.18,49.58
seq_001689.jpg,98.0,37.81,38.58
seq_001690.jpg,90.0,40.02,44.47
seq_001691.jpg,16.0,38.67,0.0
seq_001692.jpg,86.0,35.18,40.91
seq_001693.jpg,93.0,37.67,40.51
seq_001694.jpg,65.0,37.72,58.03
seq_001695.jpg,96.0,35.32,36.79
seq_001696.jpg,66.0,36.32,55.04
seq_001697.jpg,70.0,36.28,51.82
seq_001698.jpg,36.0,33.68,93.55
seq_001699.jpg,46.0,32.89,71.51
seq_001700.jpg,38.0,35.31,92.93
seq_001701.jpg,78.0,34.35,44.04
seq_001702.jpg,32.0,34.74,91.44
seq_001703.jpg,19.0,39.41,0.0
seq_001704.jpg,85.0,39.53,46.5
seq_001705.jpg,75.0,39.73,52.97
seq_001706.jpg,13.0,34.92,0.0
seq_001707.jpg,17.0,34.43,0.0
seq_001708.jpg,15.0,35.48,0.0
seq_001709.jpg,85.0,37.69,44.34
seq_001710.jpg,76.0,39.25,51.64
seq_001711.jpg,11.0,38.2,0.0
seq_001712.jpg,88.0,39.71,45.12
seq_001713.jpg,68.0,41.35,60.8
seq_001714.jpg,44.0,42.51,96.61
seq_001715.jpg,82.0,41.49,50.6
seq_001716.jpg,41.0,42.9,95.37
seq_001717.jpg,63.0,41.19,65.37
seq_001718.jpg,79.0,40.93,51.81
seq_001719.jpg,13.0,43.53,0.0
seq_001720.jpg,13.0,44.51,0.0
seq_001721.jpg,84.0,44.03,52.41
seq_001722.jpg,39.0,40.16,97.03
seq_001723.jpg,38.0,38.88,97.68
seq_001724.jpg,52.0,41.28,79.38
seq_001725.jpg,97.0,40.62,41.88
seq_001726.jpg,67.0,40.79,60.89
seq_001727.jpg,94.0,43.46,46.23
seq_001728.jpg,28.0,40.68,54.73
seq_001729.jpg,84.0,43.4,51.67
seq_001730.jpg,26.0,44.47,28.97
seq_001731.jpg,18.0,44.27,0.0
seq_001732.jpg,24.0,44.09,16.29
seq_001733.jpg,76.0,41.74,54.93
seq_001734.jpg,17.0,43.15,0.0
seq_001735.jpg,43.0,42.94,99.87
seq_001736.jpg,85.0,42.84,50.4
seq_001737.jpg,14.0,40.8,0.0
seq_001738.jpg,81.0,40.47,49.96
seq_001739.jpg,69.0,40.2,58.25
seq_001740.jpg,68.0,38.57,56.71
seq_001741.jpg,50.0,40.44,80.88
seq_001742.jpg,29.0,37.32,71.31
seq_001743.jpg,93.0,36.33,39.07
seq_001744.jpg,89.0,32.02,35.97
seq_001745.jpg,87.0,32.08,36.88
seq_001746.jpg,51.0,32.06,62.87
seq_001747.jpg,32.0,32.49,98.48
seq_001748.jpg,65.0,32.91,50.63
seq_001749.jpg,93.0,35.43,38.1
seq_001750.jpg,45.0,37.23,82.73
seq_001751.jpg,58.0,34.89,60.16
seq_001752.jpg,76.0,34.73,45.7
seq_001753.jpg,92.0,34.08,37.04
seq_001754.jpg,77.0,37.45,48.63
seq_001755.jpg,32.0,39.18,77.57
seq_001756.jpg,89.0,40.43,45.43
seq_001757.jpg,29.0,35.79,76.57
seq_001758.jpg,31.0,35.04,86.95
seq_001759.jpg,24.0,30.2,74.18
seq_001760.jpg,77.0,30.07,39.06
seq_001761.jpg,71.0,31.19,43.93
seq_001762.jpg,10.0,31.81,0.0
seq_001763.jpg,68.0,31.7,46.62
seq_001764.jpg,20.0,29.82,50.88
seq_001765.jpg,33.0,28.28,85.7
seq_001766.jpg,18.0,27.07,49.6
seq_001767.jpg,28.0,26.25,93.74
seq_001768.jpg,70.0,23.94,34.21
seq_001769.jpg,21.0,23.14,89.8
seq_001770.jpg,26.0,24.81,95.42
seq_001771.jpg,33.0,26.2,79.41
seq_001772.jpg,98.0,24.86,25.36
seq_001773.jpg,63.0,27.94,44.35
seq_001774.jpg,72.0,28.24,39.23
seq_001775.jpg,12.0,29.42,0.0
seq_001776.jpg,39.0,29.86,76.56
seq_001777.jpg,28.0,33.39,80.75
seq_001778.jpg,72.0,35.27,48.98
seq_001779.jpg,16.0,32.44,0.0
seq_001780.jpg,71.0,36.41,51.28
seq_001781.jpg,59.0,37.76,64.01
seq_001782.jpg,13.0,39.71,0.0
seq_001783.jpg,42.0,37.62,89.58
seq_001784.jpg,68.0,38.32,56.35
seq_001785.jpg,87.0,34.7,39.88
seq_001786.jpg,28.0,32.68,83.28
seq_001787.jpg,22.0,32.88,50.54
seq_001788.jpg,20.0,31.26,43.7
seq_001789.jpg,45.0,28.37,63.04
seq_001790.jpg,31.0,28.18,90.9
seq_001791.jpg,73.0,31.06,42.55
seq_001792.jpg,33.0,32.81,99.42
seq_001793.jpg,42.0,32.25,76.78
seq_001794.jpg,66.0,31.74,48.1
seq_001795.jpg,40.0,29.38,73.45
seq_001796.jpg,19.0,30.75,38.15
seq_001797.jpg,19.0,28.46,50.21
seq_001798.jpg,42.0,28.26,67.3
seq_001799.jpg,99.0,37.03,37.41
seq_001800.jpg,43.0,37.39,86.95
seq_001801.jpg,78.0,34.54,44.28
seq_001802.jpg,27.0,36.44,65.04
seq_001803.jpg,11.0,35.39,0.0
seq_001804.jpg,76.0,34.82,45.81
seq_001805.jpg,85.0,37.67,44.32
seq_001806.jpg,93.0,35.36,38.02
seq_001807.jpg,38.0,31.91,83.98
seq_001808.jpg,59.0,33.35,56.52
seq_001809.jpg,66.0,36.41,55.17
seq_001810.jpg,55.0,38.24,69.52
seq_001811.jpg,59.0,39.22,66.47
seq_001812.jpg,29.0,39.84,62.63
seq_001813.jpg,76.0,38.53,50.7
seq_001814.jpg,95.0,36.35,38.26
seq_001815.jpg,35.0,37.85,91.87
seq_001816.jpg,28.0,36.25,70.52
seq_001817.jpg,74.0,37.96,51.3
seq_001818.jpg,80.0,34.51,43.14
seq_001819.jpg,26.0,37.29,56.57
seq_001820.jpg,69.0,36.96,53.57
seq_001821.jpg,22.0,37.67,28.78
seq_001822.jpg,39.0,37.09,95.09
seq_001823.jpg,28.0,39.23,59.9
seq_001824.jpg,22.0,35.91,36.75
seq_001825.jpg,44.0,38.84,88.27
seq_001826.jpg,80.0,38.41,48.01
seq_001827.jpg,62.0,39.15,63.14
seq_001828.jpg,62.0,40.13,64.72
seq_001829.jpg,84.0,40.07,47.71
seq_001830.jpg,93.0,40.78,43.85
seq_001831.jpg,50.0,39.26,78.53
seq_001832.jpg,83.0,37.22,44.85
seq_001833.jpg,96.0,37.55,39.11
seq_001834.jpg,14.0,37.33,0.0
seq_001835.jpg,26.0,37.3,56.55
seq_001836.jpg,76.0,35.66,46.92
seq_001837.jpg,64.0,39.21,61.26
seq_001838.jpg,95.0,40.54,42.68
seq_001839.jpg,19.0,39.34,0.0
seq_001840.jpg,73.0,41.05,56.23
seq_001841.jpg,66.0,41.01,62.13
seq_001842.jpg,95.0,40.23,42.35
seq_001843.jpg,19.0,38.39,0.0
seq_001844.jpg,50.0,37.8,75.59
seq_001845.jpg,76.0,42.34,55.71
seq_001846.jpg,51.0,41.44,81.25
seq_001847.jpg,67.0,42.89,64.01
seq_001848.jpg,49.0,41.99,85.7
seq_001849.jpg,25.0,42.61,29.56
seq_001850.jpg,19.0,39.54,0.0
seq_001851.jpg,83.0,38.3,46.14
seq_001852.jpg,10.0,40.06,0.0
seq_001853.jpg,13.0,40.91,0.0
seq_001854.jpg,19.0,41.75,0.0
seq_001855.jpg,16.0,41.59,0.0
seq_001856.jpg,72.0,38.68,53.72
seq_001857.jpg,77.0,37.74,49.01
seq_001858.jpg,49.0,36.59,74.68
seq_001859.jpg,75.0,39.48,52.64
seq_001860.jpg,80.0,35.3,44.12
seq_001861.jpg,26.0,36.23,60.66
seq_001862.jpg,48.0,38.13,79.45
seq_001863.jpg,60.0,38.17,63.61
seq_001864.jpg,26.0,36.41,59.96
seq_001865.jpg,97.0,35.88,36.99
seq_001866.jpg,46.0,35.66,77.53
seq_001867.jpg,77.0,36.15,46.95
seq_001868.jpg,34.0,35.44,95.78
seq_001869.jpg,38.0,39.17,96.93
seq_001870.jpg,88.0,39.55,44.94
seq_001871.jpg,38.0,39.37,96.39
seq_001872.jpg,61.0,42.39,69.49
seq_001873.jpg,36.0,42.1,83.05
seq_001874.jpg,90.0,43.04,47.82
seq_001875.jpg,56.0,42.82,76.46
