image_id,actual_count,predicted_count,accuracy(%)
1117,27.0,27.608217,97.747345
1369,28.0,29.305712,95.33675
423,36.0,37.257713,96.506355
414,42.0,38.778423,92.32958
452,22.0,22.540342,97.5439
862,25.0,23.324919,93.299675
1064,37.0,37.727825,98.032906
742,35.0,33.49456,95.698746
1273,37.0,33.976223,91.82763
260,22.0,23.08195,95.08205
889,22.0,21.641708,98.3714
1433,35.0,30.621767,87.49076
713,39.0,36.39829,93.32895
1383,30.0,30.478565,98.404785
71,34.0,28.425102,83.60324
1269,30.0,29.367985,97.89328
1492,29.0,26.895618,92.743515
608,25.0,23.041422,92.16569
434,21.0,20.21752,96.2739
52,15.0,15.7295065,95.13663
1200,29.0,30.723202,94.05792
1129,35.0,33.407707,95.45059
1191,38.0,35.725616,94.01478
1250,30.0,28.709135,95.69711
1420,27.0,27.171976,99.36305
433,25.0,25.324846,98.700615
1453,37.0,34.43408,93.06508
1471,21.0,23.526423,87.96941
1235,37.0,35.37364,95.60443
1282,24.0,24.531578,97.785095
1086,32.0,29.841536,93.2548
611,27.0,27.975626,96.38657
1285,26.0,25.73581,98.98388
1042,25.0,24.930231,99.720924
221,43.0,42.611893,99.09743
340,27.0,29.912008,89.21478
424,33.0,32.596336,98.77678
429,33.0,31.371113,95.06398
1106,34.0,33.524982,98.60289
77,37.0,38.52477,95.879005
1392,33.0,31.68392,96.01188
440,17.0,16.372381,96.30813
1337,40.0,39.779858,99.449646
865,21.0,20.583067,98.0146
1081,26.0,26.793905,96.94652
355,32.0,30.672834,95.85261
366,40.0,39.035683,97.5892
310,32.0,29.861353,93.31673
737,34.0,32.458355,95.46575
999,42.0,38.582405,91.86287
622,28.0,25.897532,92.49118
544,17.0,19.191425,87.10926
1141,44.0,39.332203,89.39137
1297,25.0,25.518736,97.92506
555,23.0,22.161587,96.35473
680,23.0,23.910221,96.04252
50,25.0,26.566118,93.73553
491,20.0,19.976168,99.88084
317,41.0,37.631424,91.78396
905,43.0,41.54449,96.6151
637,31.0,28.510313,91.96875
561,24.0,22.918036,95.49181
487,33.0,34.777378,94.614006
68,36.0,33.02914,91.74761
812,27.0,26.62177,98.59915
494,22.0,23.079828,95.09169
311,33.0,31.115015,94.287926
1097,32.0,29.648287,92.650894
1248,27.0,28.136194,95.79187
185,39.0,37.246704,95.50437
307,30.0,27.997484,93.32495
853,24.0,22.154255,92.309395
793,31.0,29.453716,95.011986
290,33.0,29.27764,88.72012
707,36.0,33.46301,92.952805
1330,45.0,41.15244,91.44987
655,17.0,15.699112,92.34772
523,22.0,21.12245,96.01114
462,20.0,18.01594,90.0797
931,36.0,34.138805,94.83002
1035,33.0,31.738478,96.17721
30,27.0,23.785763,88.09542
241,26.0,24.830069,95.50027
799,28.0,28.293653,98.95124
818,26.0,26.267141,98.972534
66,27.0,26.597628,98.509735
602,19.0,18.17576,95.661896
925,40.0,38.79646,96.99115
755,43.0,42.160892,98.048584
927,43.0,42.625874,99.12994
1102,34.0,33.969574,99.910515
248,32.0,33.04565,96.732346
278,34.0,30.343794,89.24645
1403,29.0,28.965586,99.88133
1067,36.0,39.946865,89.03648
480,24.0,23.56257,98.177376
427,35.0,32.188503,91.96715
124,31.0,30.707111,99.0552
1170,31.0,30.425974,98.1483
395,28.0,26.754032,95.55012
986,40.0,40.400047,98.99988
716,42.0,40.71626,96.943474
1135,33.0,33.802,97.5697
1085,32.0,31.9835,99.94843
498,26.0,25.638685,98.61033
45,24.0,23.769716,99.04048
60,16.0,15.710818,98.19261
1162,33.0,32.091846,97.24802
24,23.0,22.109064,96.126366
875,28.0,28.119562,99.57299
482,31.0,29.14066,94.00213
